word1,word2,gold_score,model_score
old,new,1.58,0.3406829833984375
smart,intelligent,9.2,0.3217140734195709
hard,difficult,8.77,0.3657205104827881
happy,cheerful,9.55,0.2885940670967102
hard,easy,0.95,0.3303306996822357
fast,rapid,8.75,0.24114716053009033
happy,glad,9.17,0.23811885714530945
short,long,1.23,0.39058372378349304
stupid,dumb,9.58,0.3865590989589691
weird,strange,8.93,0.429141104221344
wide,narrow,1.03,0.3062172532081604
bad,awful,8.42,0.2123919576406479
easy,difficult,0.58,0.30018383264541626
bad,terrible,7.78,0.2994789183139801
hard,simple,1.38,0.18319392204284668
smart,dumb,0.55,0.2537984848022461
insane,crazy,9.57,0.3807205259799957
happy,mad,0.95,0.18556305766105652
large,huge,9.47,0.33391889929771423
hard,tough,8.05,0.3585197925567627
new,fresh,6.83,0.30079370737075806
sharp,dull,0.6,0.25527405738830566
quick,rapid,9.7,0.23866218328475952
dumb,foolish,6.67,0.18497724831104279
wonderful,terrific,8.63,0.3047395348548889
strange,odd,9.02,0.35614779591560364
happy,angry,1.28,0.27552664279937744
narrow,broad,1.18,0.3338993191719055
simple,easy,9.4,0.32125669717788696
old,fresh,0.87,0.19894208014011383
apparent,obvious,8.47,0.37656623125076294
inexpensive,cheap,8.72,0.3927377462387085
nice,generous,5.0,0.2053409367799759
weird,normal,0.72,0.23559284210205078
weird,odd,9.2,0.3015287518501282
bad,immoral,7.62,0.15747490525245667
sad,funny,0.95,0.14222025871276855
wonderful,great,8.05,0.29850268363952637
guilty,ashamed,6.38,0.18710443377494812
beautiful,wonderful,6.5,0.3419575095176697
confident,sure,8.27,0.26912716031074524
dumb,dense,7.27,0.14683258533477783
large,big,9.55,0.35233747959136963
nice,cruel,0.67,0.21608063578605652
impatient,anxious,6.03,0.31326356530189514
big,broad,6.73,0.22857771813869476
strong,proud,3.17,0.19003954529762268
unnecessary,necessary,0.63,0.3885582685470581
restless,young,1.6,0.14879202842712402
dumb,intelligent,0.75,0.1281920224428177
bad,great,0.35,0.23909537494182587
difficult,simple,0.87,0.25864601135253906
necessary,important,7.37,0.19019196927547455
bad,terrific,0.65,0.16657930612564087
mad,glad,1.45,0.18704672157764435
honest,guilty,1.18,0.12992075085639954
easy,tough,0.52,0.2624865472316742
easy,flexible,4.1,0.18647265434265137
certain,sure,8.42,0.3339610993862152
essential,necessary,8.97,0.19924704730510712
different,normal,1.08,0.24658876657485962
sly,clever,7.25,0.2913171648979187
crucial,important,8.82,0.3268416225910187
harsh,cruel,8.18,0.2998141944408417
childish,foolish,5.5,0.2493366003036499
scarce,rare,9.17,0.28843650221824646
friendly,generous,5.9,0.1816139668226242
fragile,frigid,2.38,0.1880500167608261
long,narrow,3.57,0.22510473430156708
big,heavy,6.18,0.2532622218132019
rough,frigid,2.47,0.15517880022525787
bizarre,strange,9.37,0.42325904965400696
illegal,immoral,4.28,0.2607002556324005
bad,guilty,4.2,0.19770659506320953
modern,ancient,0.73,0.27940666675567627
new,ancient,0.23,0.18174326419830322
dull,funny,0.55,0.12149446457624435
happy,young,2.0,0.18190433084964752
easy,big,1.12,0.19746941328048706
great,awful,1.17,0.21120989322662354
